portugues,Tupi_Referencia,Tupi_via_Guarani,Tupi_direto
Tu me alegras muito,Xe moorykatu îepé,Nde moaysóeté ixébene,Xe moorykatu îepé
"Tu me alegras muito, narrando assim os fatos","Xe moorykatu îepé, inã tekó mombegûabo","Aûîebeté, xe moorykatu, inã tekó mombegûabo","Xe moorykatu îepé, inã tekó mombegûabo"
"Tu me alegras muito, narrando assim os fatos","Xe moorykatu îepé, inã tekó mombegûabo","Aûîebeté, xe moorykatu, inã tekó mombegûabo","Xe moorykatu îepé, inã tekó mombegûabo"
Fazeme tu valente,Xe mopyatã îepé,Eîmoatã nde abaeté ixébe,Xe mopyatã îepé
Fazeme tu valente para que eu me oponha ao maldito,"Xe mopyatã îepé, t'apu'am muru resé",Eîmonhyrõ xe i xuí,"Xe mopyatã îepé, t'apu'am muru resé"
"Fazeme tu valente, para que eu me oponha ao maldito, para sempre vencendoo","Xe mopyatã îepé, t'apu'am muru resé, aûîérama i moaûîébo","Eîeîuká xe îepé, t'apu'am ahẽ resé, îepi nhẽ xe 'anga setébo","Xe mopyatã îepé, t'apu'am muru resé, aûîérama i moaûîébo"
Eu sou agourento,Xe morangygûan,Aîkó i angaîpabamo,Xe morangygûan
Eu sou liberal,Xe mosakar,Aîkoekoate'yme'yma,Xe mosakar
Fazme sair sempre da aldeia o padre,Xe mosẽ memẽ taba suí abaré,"Kûepe xe gûabo, abaré xe mbo'ir",Xe mosẽ memẽ taba suí abaré
Eu tenho muitos parentes,Xe mũetá,Xe anamaetá,Xe mũetá
"Eu não queria vir (mas vim), irando os homens brancos","Xe n'aîupotari biã, karaíba moabaîtébo","N'aîupotari biã, karaíba amõ gûabo","Xe n'aîupotari biã, karaíba moabaîtébo"
"Eu não queria vir, irando os homens brancos","Xe n'aîupotari biã, karaíba moabaîtébo","N'aîupotari xûéne, îaîopuna","Xe n'aîupotari biã, karaíba moabaîtébo"
Eu tenho as orelhas cortadas,Xe nambiasyk,Aîeapyká,Xe nambiasyk
Eu sou fedorento,Xe nem,Aî'aî,Xe nem
Eu sou risonho,Xe nhearõ,Aîpynekûar,Xe pukasûer
eco de minhas palavras,xe nhe'ẽ'anga,xe nhe'enga abŷagûera,xe nhe'ẽ'anga
Eu resmungo,Xe nhe'ẽkurukuruk,Aîmombe'u,Xe nhe'ẽkurukuruk
Eu sou elegante nas palavras,Xe nhe'ẽmatueté,Gûinhe'enga xe momorangi,Xe nhe'ẽmatueté
Eu falo demais,Xe nhe'ẽmby'i,Xe nhe'engetekatu,Xe nhe'ẽmby'i
Eu tenho fala rápida,Xe nhe'ẽmby'i,Xe nhe'ẽmby'i,Xe nhe'ẽmby'i
Ele me deixou sem palavras,Xe nhe'ẽmbyk ahẽ,Aînhe'enga abŷabo,Xe nhe'ẽmbyk ahẽ
Eu me calei,Xe nhe'endok,Aî'apyk,Xe nhe'endok
"No final de minha fala, ele falou",Xe nhe'enga apyrûerype ahẽ nhe'engi,i 'anga koty é ahẽ nhe'engi,Xe nhe'enga apyrûerype ahẽ nhe'engi
Minhas palavras somente cumprirás,Xe nhe'enga nhõ ereîporaká,Xe nhe'enga nhõ ereîporaká,Xe nhe'enga nhõ ereîporaká
Eu tenho palavras afáveis,Xe nhe'engangaturam,Xe nhe'ẽposyî,Xe nhe'engangaturam
"Eu sou de voz alta, eu levanto a voz",Xe nhe'engapûan,Xe nhe'ẽmatã,Xe nhe'engapûan
Eu tenho palavras de rufião,Xe nhe'engarũaíb,Xe nhe'engasy,Xe nhe'engarũaíb
Eu tenho palavras ásperas,Xe nhe'engasy,Xe nhe'ẽngatu,Xe nhe'engasy
Eu sou gritador,Xe nhe'engatãndûer,Aîpyapasamoín,Xe nhe'engatãndûer
"Eu tenho boa fala, eu sou bom falante",Xe nhe'ẽngatu,Gûaîxará,Xe nhe'ẽngatu
Eu tenho palavras desatinadas,Xe nhe'engetá,Aînhe'ẽîeaseî,Xe nhe'engetá
Eu sou muito falante,Xe nhe'engetekatu,Ixé aé ipó nhe'engixûer,Xe nhe'engetekatu
Eu sou falador,Xe nhe'engixûer,Aîmopor xe nhe'enga,Xe nhe'engixûer
Eu vivo papeando,Xe nhe'engixûer gûitekóbo,Aîkó tenhẽ,Xe nhe'engixûer gûitekóbo
Eu sou fingido (nas palavras),Xe nhe'engyrygûan,Aîepysó gûitupa,Xe nhe'engyrygûan
minhas palavras engasgadas,xe nhe'ẽpa'ama,xe nhe'ẽremimbyra,xe nhe'ẽpa'ama
Eu sou muito manhoso em palavras,Xe nhe'ẽpokarugûákatu,Xe nhe'ẽpokarugûákatu,Xe nhe'ẽpokarugûákatu
Eu tenho palavras sagazes,Xe nhe'ẽpokarugûar,Xe nhe'ẽpoty,Xe nhe'ẽpokarugûar
"Eu tenho palavras pesadas (isto é, sérias, com pesadas reflexões)",Xe nhe'ẽposyî,Xe nhe'ẽposyî,Xe nhe'ẽposyî
"Eu tenho palavras enganosas, falsas",Xe nhe'ẽpuraké,Xe nhe'ẽpuraké,Xe nhe'ẽpuraké
Eu sou gago,Xe nhe'ẽrueru,Xe sarigûeîa,Xe nhe'ẽrueru
Eu tenho muitas comborças,Xe nhemõîetá,I mara'arusu ixé,Xe nhemõîetá
Veio antes que eu me preparasse,Xe nhemosako'i e'ymebé turi,Eîori xe nhemosako'i e'ymebé,Xe nhemosako'i e'ymebé turi
Eu tenho inclinação a me irritar,Xe nhemoŷrõndûer,Aîeréîereb,Xe nhemoŷrõndûer
Eu somente beberei tudo,Xe nhõ a'u pakatune,Ixé anhõ ygara,Xe nhõ a'u pakatune
"Ah, tão somente eu, na verdade, sofrerei isto!",Xe nhõngatueté koba'e aîporaráne mã!,Xe nhõngatueté koba'e aîpotareté mã!,Xe nhõngatueté koba'e aîporaráne mã!
"Que entres em meu coração, guardando meu interior","Xe nhy'ãme t'ereîké, xe py'a moingatûabo","Eîké xe nhy'ãme, xe ybỹîa rarõmo","Xe nhy'ãme t'ereîké, xe py'a moingatûabo"
"Que entres no meu coração, guardando bem meu interior","Xe nhy'ãme t'ereîké, xe py'a moingatûabo","Eîké xe nhy'ãme, xe ybỹîa rerekóbo","Xe nhy'ãme t'ereîké, xe py'a moingatûabo"
Eu sou muito manchado,Xe paráparab,Aîerekoaibeté,Xe paráparab
Eu vim do rio dos paratis,Xe parati 'y suí aîu,Aîur 'y parati suí,Xe parati 'y suí aîu
"Eu vim do rio dos paratis para ver a mãe de Deus, ficando a enfeitarme","Xe Parati 'y suí aîu Tupã sy repîaka, gûinhemoîegûáîegûaka","Aîur 'y Parati suí Tupã sy repîaka, i moingotebẽsaba","Xe Parati 'y suí aîu Tupã sy repîaka, gûinhemoîegûáîegûaka"
"Do rio dos paratis vim para ver a rainha, enfeitando minha cabeça","Xe parati 'y suí aîu, rainha repîaka, xe akanga moîegûaka","Xe parati 'y suí aîu kunhã repîaka, xe akanga moîegûaka","Xe parati 'y suí aîu, rainha repîaka, xe akanga moîegûaka"
Eu manquejo,Xe parĩ,Aîepysó gûitupa,Xe parĩ
Aquentamme,Xe pé,Eîori xe renõîa,Xe pé
Não me desterres tu,Xe pe'a umẽ îepé,Aûîé! Teumẽ xe mombaka,Xe pe'a umẽ îepé
Não me desterres tu,Xe pe'a umẽ îepé,Aûîé! Teumẽ xe mombaka,Xe pe'a umẽ îepé
Eu tenho casca (de ferida) erguida,Xe pébur,Xe rûaîurupirar,Xe pébur
"Eu tenho casca (isto é, de ferida prestes a sarar) estalada",Xe pépok,I piririk,Xe pépok
Eu sou muito perebento,Xe perépereb,Aîepysó gûitekóbo,Xe perépereb
lugar costumeiro de minha pescaria,xe pindaeîtykatyba,xe pirá itatyba,xe pindaeîtykatyba
Meu anzol muito ditoso há de pescar para ti,Xe pindáporangeté t'opindaîtykyne endébo,Xe 'apira amotá nde koty,Xe pindáporangeté t'opindaîtykyne endébo
"Meu anzol muito ditoso há de pescar para ti, puxando bem os canapus e as arabaianas verdadeiras","Xe pindáporangeté t'opindaîtykyne endébo, kunapu rekyîetébo, gûaraobanhaneté","Xe îurupypyk îepotasaba resé, kunapu resé i apytĩamo, arupare'yma","Xe pindáporangeté t'opindaîtykyne endébo, kunapu rekyîetébo, gûaraobanhaneté"
Eu tenho pintas,Xe pinim,Xe îeysápuku,Xe pinim
Eu sou todo manchado,Xe pinĩpinim,Aîku'ab,Xe pinĩpinim
Eu sou leproso,Xe piraíb,Xe piryty,Xe piraíb
Eu tenho a pele quente,Xe pirakubor,Aîpirok,Xe pirakubor
Eu tenho amantes,Xe piraty,Xe amigûar,Xe piraty
Eu tenho muitas bolhas,Xe piru'aru'a,Xe nhemoŷrõetá,Xe piru'aru'a
Eu sou leproso,Xe piryty,Xe piryty,Xe piraíb
Eu estou muito arrepiado,Xe pita'ita'i,Aîepysyrõsyrõ,Xe pita'ita'i
Eu estou muito quebrantado,Xe pitubarusu,Aîeréîereb,Xe pitubarusu
"Ah, beliscarmeá hoje!","Xe pixã korine, mã!","Té, kó ahẽ pu'ami!","Xe pixã korine, mã!"
extremidades de minhas mãos,xe pó apyra,xe pó apyra,xe pó apyra
"Sob minhas mãos tenho os moços pecadores, os velhos crescidos","Xe pó gûyrype arekó kunumĩgûasuangaîpaba, tunhãba'ekakuaba","Na xe pó gûyrype ruã kunumĩgûasuangaîpaba, tunhãba'ekakuaba","Xe pó gûyrype arekó kunumĩgûasuangaîpaba, tunhãba'ekakuaba"
Eu sou ligeiro de mãos,Xe poapyî,I popy'i tenhẽ,Xe poesãî
Eu sou ligeiro de mãos,Xe pobebuî,I popy'i tenhẽ,Xe poesãî
Eu sou ligeiro de mãos,Xe poesãî,I popy'i tenhẽ,Xe poesãî
Eu sou destro,Xe poîabab,I 'ekatûaba ixé,Xe poîabab
Eu sou hábil,Xe pokarugûar,Aîeapyká,Xe pokarugûar
Em minhas mãos bem os tenho,Xe pópe arekókatu,Aîpó gûyrype arekó,Xe pópe arekókatu
"Nas minhas mãos, somente, leveias",Xe pópe nhote arasó,Ambó pó suí nhõ nde reropûar,Xe pópe nhote arasó
Eu tenho mãos sardentas,Xe pópinim,I aîub xe pó,Xe pópinim
Eu sou ligeiro de mãos,Xe popy'i,I popy'i tenhẽ,Xe poesãî
Eu sou hábil em assim agir,Xe popy'i emonã gûitekóbo,Emonã tekó aîkó,Xe popy'i emonã gûitekóbo
Eu tenho mãos rápidas para assim agir,Xe pópy'i emonã gûitekóbo,Aîepyaobok emonã xe pó,Xe pópy'i emonã gûitekóbo
meu pescador,xe porakasara,xe pirá,xe porakasara
"Oxalá eu esteja muito bela, para que os homens me desejem","Xe porangeté temomã, a'emo abá xe potari","I porangetépotá, abá mondabeypó","Xe porangeté temomã, a'emo abá xe potari"
"Ah, eu sou muito miserável após me entregar para o diabo!",Xe poreaûsubetekatu Anhanga supé xe nheme'eng'iré mã!,Xe poreaûsubeté'ĩ ra'u anhanga pópe xe reîme'ẽngatu roîré mã!,Xe poreaûsubetekatu Anhanga supé xe nheme'eng'iré mã!
Estou sendo muito miserável,Xe poreaûsukatu gûitekóbo,Aîeréîereb,Xe poreaûsukatu gûitekóbo
Eu tenho mestre,Xe porombo'esar,Xe porombo'esar,Xe porombo'esar
"Eu açouto gente, de costume",Xe poronupã îá,Apore'ym îá,Xe poronupã îá
Açoito gente frequentemente,Xe poronupã îaby,Aîmoapapub apyrasápe,Xe poronupã îaby
Costumo alimentar gente,Xe poropoîxûer,"Ixéte, xe poîa'o ixébo",Xe poropoîxûer
Eu sou mandão,Xe poropûaîxûer,Xe poropûaîxûer,Xe poropûaîxûer
"Eu sou moçacara, eu sou forte","Xe posaká, xe ratã",Akakuab,"Xe posaká, xe ratã"
"Eu sou moçacara, eu sou forte","Xe posaká, xe ratã",Akakuab,"Xe posaká, xe ratã"
Eu estava sobrecarregado,Xe posakar,Aîepysó gûitupa,Xe posakar
Vio em meus sonhos,Xe posaûsupe asepîak,Aîosub xe piara,Xe posaûsupe asepîak
Dormiu comigo,Xe posé i keri,Aîkó xe ri,Xe posé i keri
Eu sou visitador,Xe posubixûer,Morubixámosaramo aîkó,Xe posubixûer
minha herança,xe potaba,xe potaba,xe potaba
O que me cabe é tomar cauim,Xe potaba kaûĩ rá,Kaûĩ xe potaba,Xe potaba kaûĩ rá
O que me cabe é tomar cauim,Xe potaba kaûĩ rá,Kaûĩ xe potaba,Xe potaba kaûĩ rá
Meu quinhão és tu!,Xe potaba nde!,Aîkó nde rekobîaramo!,Xe potaba nde!
Eu tenho flores,Xe potyr,Xe potyr,Xe potyr
Ocupame tu,Xe pûaî îepé,Nde nhemosaînanyne ixébene,Xe pûaî îepé
Eu sou certeiro,Xe pûakatu,Aîmoa'yrĩ,Xe pûakatu
minha presa (o que eu capturei na guerra),xe pu'amagûera,xe maranirũ,xe pu'amagûera
Eu estava ainda cansado,Xe pûeraî mbyté,Aîpuku bé,Xe pûeraî mbyté
Eu estava ainda cansado,Xe pûeraî mbyté,Aîpuku bé,Xe pûeraî mbyté
"Eu estou cansado, eu estou com sono!","Xe pûeraî, xe ropesyî!","Xe pûeraî, xe kerapará!","Xe pûeraî, xe ropesyî!"
Eu sou muito barulhento,Xe pugûasu,Aîmoporang,Xe pugûasu
Eu sou risonho,Xe pukasûer,Aîpynekûar,Xe pukasûer
Eu sou alto,Xe puku,I popebusu ixé,Xe puku
Eu fui peado,Xe pukusam,Aîepysó gûitupa,Xe pukusam
Eu estou inchado,Xe pungá,Aîubĩ tenondé,Xe pungá
Eu tenho azia,Xe pusu'umukaî,Iî aŷpyasab,Xe pusu'umukaî
Eu estou resfolgando,Xe putuẽtuẽ,Aîmombe'u,Xe putuẽtuẽ
Eu sou paciente,Xe putumuku,Xe putumuku,Xe putumuku
Eu estou admirado contigo,Xe putupab nhẽ nde ri,Aîpoûsubeté nde resé,Xe putupab nhẽ nde ri
Vou a pé,Xe py resé nhẽ asó,Asó itá resé,Xe py resé nhẽ asó
Meu coração ficando a revirar,Xe py'a pobupobu,I pypy'a e'i xe py'a,Xe py'a pobupobu
Toma logo meu coração e minha alma como coisas tuas,Xe py'a xe 'anga eîar nde mba'eramo taûîé,Eîar xe py'a xe 'anga nde mba'eramo,Xe py'a xe 'anga eîar nde mba'eramo taûîé
Eu tenho o coração angustiado,Xe py'aekotebẽ,I moŷrõ xe py'a,Xe py'aekotebẽ
Faço muito barulho ao andar,Xe pyambugûasu,Asykyîé asó,Xe pyambugûasu
Eu tenho o coração palpitante,Xe py'atytyk,I moapysyka xe py'a,Xe py'atytyk
Eu tenho olhos tortos,Xe pybang  Eu tenho os pés tortos Xe resábang,Aîpytápûar,Xe pybang Eu tenho os pés tortos Xe resábang
Eu tenho covinhas,Xe pygûaî,Xe rygeasypu'ãpu'am,Xe pygûaî
Eu tenho o pé adormecido,Xe pyîesyî,Iî aŷpy rupi aîkó,Xe pyîesyî
"Eu estava de pés soltos, meus pés soltaramse (pex, subindo eu a escada)",Xe py'ir,Aîeréîereb,Xe py'ir
Eu estou atolado,Xe pykûab,Aîepysó gûitupa,Xe pykûab
Um pau me desconjuntou o pé,Xe pymongaraû ybyrá,Amõ îepe'aba xe retymã moîegûaka,Xe pymongaraû ybyrá
Eu tenho pés calejados,Xe pypiru'a,Aîepysyrõsyrõ,Xe pypiru'a
O que trabalha perto de mim,Xe pyri marãtekoara,Aîkó xe porupi,Xe pyri marãtekoara
Eu dou tropeçada,Xe pysakang,Ixé t'aîub,Xe pysakang
Eu sou novo,Xe pysasu,Aîkó pysasu,Xe pysasu
Prendeume este macaxera!,Xe pysyk kó makaxera!,Eîpe'a kó tekoangaîpaba monhanga!,Xe pysyk kó makaxera!
Talvez queira agarrarme novamente este pássaro grande,Xe pysypotary bé serã kó gûyragûasu,Ikatupe nhẽ xe rerekoá benhẽ ikó gûyragûasu resé,Xe pysypotary bé serã kó gûyragûasu
Talvez queira agarrarme novamente este pássaro grande,Xe pysypotary bé serã kó gûyragûasu,Ikatupe nhẽ xe rerekoá benhẽ ikó gûyragûasu resé,Xe pysypotary bé serã kó gûyragûasu
Livrame tu!,Xe pysyrõ îepé!,Eîepe'a ixé i xuí!,Xe pysyrõ îepé!
Meus pés escorregaram,Xe pysyryk,Aîepysyrõsyrõ,Xe pysyryk
Eu me fico levantando nas pontas dos pés,Xe pyta'ãta'am,Aîeapyká,Xe pyta'ãta'am
Veio bem detrás de mim,Xe pytáî bé turi,Eîori xe atuaî,Xe pytáî bé turi
Atrás de mim ele veio,Xe pytaî turi,Aîeîurupirar,Xe pytaî turi
Veio atrás de mim,Xe pytaî turi,Eîori xe atuaî,Xe pytaî turi
Eu sou pardo,Xe pytang,Aîparĩ,Xe pytang
Eu sou coxo,Xe pyte'em,Aîpyapasamoín,Xe pyte'em
Eu tenho muito pitiú,Xe pyti'ugûasu,Xe 'angaeté,Xe pyti'ugûasu
"Eu tenho fôlego apressado, eu tenho muito fôlego",Xe pytubapûan,Aîerekoaíb,Xe pytubapûan
Eu estou muito melancólico,Xe pytubarusu,Aîeréîereb,Xe pytubarusu
Eu tenho fôlego comprido,Xe pytumuku,Ipuku xe resa'y,Xe pytumuku
Eu sou manchado,Xe rabarab,Aîepysó gûitupa,Xe apŷab
Eu sou muito manchado,Xe rabarábarab,Aîerekoaibeté,Xe paráparab
Eu tenho muita felpa,Xe rabusu,Xe piraty,Xe rabusu
Eu tenho inhaca,Xe raby'ak,Xe înhakũ,Xe raby'ak
"Estou pela metade (pex, afundado n'água)",Xe ragûé rupi aín,Aîopyterybo,Xe ragûé rupi aín
Arreganhei os dentes,Xe rãîbitir,Aîeapyká,Xe rãîbitir
"Saiume de través (pex, a flecha que me atingiu)",Xe raîé i xemi,Aîpĩnhang,Xe raîé i xemi
Rangemme os dentes,Xe rãîngyrỹî,Aîe'amĩ,Xe rãîngyrỹî
"Meus dentes tiritam (isto é, batem com o frio) Xe rembétatak  Meu beiço tirita",Xe rãîtatak,Xe resa'ykuaíb,Xe rãîtatak
Eu sou fibroso,Xe raîuraîu,Xe raîuraîu,Xe raîyraîyk
Eu tenho um nervo encolhido,Xe raîyîeapar,Aîepymongaraû,Xe raîyîeapar
Eu sou fibroso,Xe raîyraîyk,Xe raîuraîu,Xe raîyraîyk
O vão entre minhas pernas,Xe rakamby,Aîeîurupirar,Xe rakamby
Eu estou com doença venérea,Xe rakûanhaíb,Xe rakûanhaíb,Xe rakûanhaíb
Eu estou febril,Xe rakûar,Aîpitupyrang,Xe rakûar
"Eu estou febril, eu tenho febre",Xe rakub,Aîpitupyrang,Xe rakub
Eu estou morno,Xe rakubaíb,Aîubĩ,Xe rakubaíb
"Ah, eu estou muito quente aqui!",Xe rakubeté kó mã!,Xe rakubeté kó mã!,Xe rakubeté kó mã!
Eu estou animoso,Xe rakubor,Aîe'atype'a,Xe rakubor
"meu clítoris, meu tamatiá",Xe ramati'ã,Amokane'õ,Xe ramati'ã
Frustreime,Xe rambûer,Aîe'atype'a,Xe rarûab
meu avô Jaguaruna,xe ramũîa Îagûaruna,xe ramũîa Îagûarete,xe ramũîa Îagûaruna
"Eu sou muito grosseiro, eu sou grosseirão",Xe ran  Eu sou grosseiro Xe ranusu,"Ixé aé ixé, xe raûsub",Xe ran Eu sou grosseiro Xe ranusu
Eu sou peçonhento,Xe ranhasy,Aîkó i angaîpabamo,Xe ranhasy
Eu estou apressado,Xe ranhẽ,Xe aembé,Xe ranhẽ
Eu sou temporão,Xe ranhẽ,Aîkó ranhẽ,Xe ranhẽ
Eu hei de ir primeiro,Xe ranhẽ t'akûáne,Ixé ranhẽ t'akûáne,Xe ranhẽ t'akûáne
Eu tenho hérnia,Xe rapi'agûasu,Xe rapi'agûasu,Xe rapi'agûasu
Obedecemme bem os índios,Xe rapîakatu abá,Apŷaba xe rerekóû îepé,Xe rapîakatu abá
Eu sou semelhante aos selvagens,Xe rapixá saraûaîa,Asokaî,Xe rapixá saraûaîa
meu parceiro,xe rapixara,xe rapixara,xe rapixara
"Meus companheiros, hei de ver o feriado santo","Xe rapixarĩ pabẽ, 'aretéangaturama t'asepîáne!","Kunhã'yba xe, 'aretéangaturama t'asepîáne!","Xe rapixarĩ pabẽ, 'aretéangaturama t'asepîáne!"
Eu tenho (ou eu lanço) raízes,Xe rapó,Aîporaká,Xe rapó
Eu sou pontudo,Xe rapûá,Aîembo'e,Xe rapûá
Eu estou amontoado,Xe rapûá,Aîeréîereb,Xe rapûá
Eu tenho a extremidade pontuda,Xe rapûáobyr,Xe aseî ipó,Xe rapûáobyr
"Dou passos largos, dou grandes passos",Xe rapupa'ũusu,Aîmoatã kûepe xe só,Xe rapupa'ũusu
O que me guarda é o habitante do céu,Xe rarõana ybakygûara,Ybakype gûinhemoingóbo aîkó,Xe rarõana ybakygûara
Frustreime,Xe rarûab,Aîe'atype'a,Xe rarûab
Eu tenho vermes (na carne podre),Xe rasok,Xe îurupirar,Xe rasok
Eu estou quebrantado,Xe rasyrõ,Aîeréîereb,Xe rasyrõ
Meu fogo é o lugar em que queimarás,Xe ratá nde kaîaûama,Xe ratá pupé ereîotyk,Xe ratá nde kaîaûama
Mas meu fogo apagouse,Xe ratáte ogûé!,Xe ratá kanhemi,Xe ratáte ogûé!
Eu estou fumegante,Xe ratating,Aîubĩote,Xe ratating
Eu faço bochecha (comendo),Xe ratypygûasu,Aîmobabak xe remindu'une,Xe ratypygûasu
"Compadecete um pouco de mim, ó morte!",Xe raûsubámirĩ îepé te'õ gûé!,"Xe poreaûsubeté, xe re'õnama mã!",Xe raûsubámirĩ îepé te'õ gûé!
"Ah, quem me dera tivesse o padre um pouquinho de piedade de mim, mandandome pôr em outra parte!","Xe raûsubámirĩ temõ abaré, amongoty nhõte xe moinuká mã!","Xe raûsubámirĩ temõ abaré, xe mbouri mamõmo mã!","Xe raûsubámirĩ temõ abaré, amongoty nhõte xe moinuká mã!"
"Por se compadecer de mim, minh'alma faz firme","Xe raûsubasápe, xe 'anga moteni","I angaturama ri, xe 'anga seté","Xe raûsubasápe, xe 'anga moteni"
Eu estou esfalfado,Xe ra'ypab,Aîepysó gûitupa,Xe ra'ypab
Tratoo como se fosse meu filho,Xe ra'yra berame'ĩ arekó,Aîme'eng i nhemonhanga îabé,Xe ra'yra berame'ĩ arekó
meu filho que gerei,xe ra'yra xe remimonhanga,xe membyra amõanupãsara,xe ra'yra xe remimonhanga
"Ó meu filhinho, lembrate de que os que pereceram são objeto de esquecimento","Xe ra'yrĩ gûé, tesaraîtabamo okanhemba'epûera rekó resé nde ma'enduar","Xe ra'yrĩ, tesaraîtabamo okanhemba'epûera rekó resé nde ma'enduar","Xe ra'yrĩ gûé, tesaraîtabamo okanhemba'epûera rekó resé nde ma'enduar"
Eu sou de pequeno tamanho,Xe ra'yrĩa'ub,Iî aeté Ele é fino Xe aeté,Xe ra'yrĩa'ub
os parentes de minha mulher,xe ra'ysé,xe ra'ysé,xe ra'ysé
a mãe de meus filhos,xe ra'ysy,xe ra'ysy,xe ra'ysy
Meu filho!,Xe ra'yt!,Xe ra'yt!,Xe ra'yt!
"Indo, eu me escafedo",Xe rebinhỹ gûixóbo,"Asó, gûabo",Xe rebinhỹ gûixóbo
Ele é grande,Xe reburusu  Eu sou grande Seburusu,I îaeté,Xe reburusu Eu sou grande Seburusu
Eu sou médio,Xe reburusu nhote,Aîaî,Xe reburusu nhote
Eu tenho diarréia,Xe rebykasy,Iî abaí xe 'anga,Xe rybykasy
Eu tenho diarréia com sangue,Xe rebykasypyrang,Xe reîkûarugûy,Xe rebykasypyrang
Eu estou muito empanturrado,Xe rebykatãgûasu,Aîeréîereb,Xe rebykatãgûasu
Eu tenho diarréia com sangue,Xe reîkûarugûy,Xe reîkûarugûy,Xe rebykasypyrang
Eu tenho criações,Xe reîmbab,Xe poronupã,Xe reîmbab
Minha vaca que crio,Xe reîmbaba tapi'ira,Aîmba'e reîmbaba tapi'ira,Xe reîmbaba tapi'ira
a vaca que crio,xe reîmbaba tapi'ira,Aîmongy,xe reîmbaba tapi'ira
"Ah, vencermeão hoje!",Xe reîtyk korine mã!,"Xe reîtyk korine, mã!",Xe reîtyk korine mã!
"Ah, vencermeão hoje",Xe reîtyk korine mã!,Aûîé kori i gûaîbĩ mã!,Xe reîtyk korine mã!
"Eis que minha condição, na verdade, é assim",Xe rekó anhẽ nhẽ nakó emonã,Emonã anhẽ ã xe rekóû re'a,Xe rekó anhẽ nhẽ nakó emonã
Minha lei é muito bela,Xe rekó i porangeté,I porangeté xe rekó,Xe rekó i porangeté
Tenho meu modo de ser diferente,Xe rekóaé arekó,Aîepîasó,Xe rekóaé arekó
"Tenho meu modo de ser diferente (VLB, I, 103), Oré rekórekóaé oroerekó  Temos nossos modos de ser diferentes",Xe rekóaé arekó,Xe nhe'enga arekó,Xe rekóaé arekó
Eu estou muito leve nas minhas coisas,Xe rekóapepupepu,Xe mba'eaíb,Xe rekóapepupepu
"Embora me evoques os atos, daqueles arrependome","Xe rekóekyî îepé, a'epûera aîmoasy","Îasepîak îepé xe rekopûera, a'e xe arõane","Xe rekóekyî îepé, a'epûera aîmoasy"
"Embora me evoques os atos, daqueles arrependime, bem resgatandoos também","Xe rekoekyî îepé, a'epûera aîmoasy, i mboepykatûabo bé","Penhemoma'enduar xe rekopûera xe rapirõmo, xe rapirõmo, pe rapirõmo bé","Xe rekoekyî îepé, a'epûera aîmoasy, i mboepykatûabo bé"
Eu sou molengão,Xe rekombegûé,Xe membek,Xe rekoporeaûsub
Eu sou molengão,Xe rekoporeaûsub,Xe membek,Xe rekoporeaûsub
Eu estou adoentado,Xe rekoruînhẽ,Aîekûabĩ,Xe rekoruruînhẽ
Eu estou adoentado,Xe rekoruruînhẽ,Aîekûabĩ,Xe rekoruruînhẽ
Eu sou muito longevo,Xe rekosûékatu,Ixé ipó arekó,Xe rekosûékatu
Coisa beiçuda!,Xe rembegûasu  Eu tenho beiço grande Mba'eembegûasu!,Mba'eembegûasu!,Xe rembegûasu Eu tenho beiço grande Mba'eembegûasu!
Eu estou embasbacado,Xe rembeirĩ,Aîeréîereb,Xe rembeirĩ
Eu quero presas nas pessoas de alguns bêbados,Xe rembiápotá sabeypora amõ resé,Asapîápotá abá rygûasu,Xe rembiápotá sabeypora amõ resé
"Eu tenho presas, eu faço presas, eu apreso",Xe rembiar,"Xe rûaî, xe momburu, xe arõana",Xe rembiar
O resto de minhas presas trouxe para a rainha,Xe rembiara rembyrûera arurĩ reîa supé,Aîurupara rembyrûera arurĩ,Xe rembiara rembyrûera arurĩ reîá supé
O resto de minhas presas trouxe para a rainha,Xe rembiara rembyrûera arurĩ reîá supé,Aîurupara rembyrûera arurĩ,Xe rembiara rembyrûera arurĩ reîá supé
Eu sou muito delgado,Xe rembó nhẽ,Na xe rekosûeri,Xe rembó nhẽ
Eu me escafedo ao ir,Xe rembykãî gûixóbo,Aîepubuî gûixóbo,Xe rembykãî gûixóbo
Eu sobrei,Xe rembyr,Aîembo'e,Xe rembyrûer
Eu sobrei,Xe rembyrûer,Aîembo'e,Xe rembyrûer
meu escravo,xe remiaûsuba,xe remiaûsuba,xe remiaûsuba
o que eu tomo,xe remiîara,i gûasapaba,xe remiîara
o que eu ensinei,xe remimbo'epûera,i mbo'esaba,xe remimbo'epûera
"Eu tenho buzina, eu buzino",Xe remimby,"Aîmongetá, asapekóne",Xe remimby
Vou por minha vontade,Xe remimotarybo asó,Aîkó gûitekóbo,Xe remimotarybo asó
o magro que convidei,xe remipoîangaîbara,marãbirĩ xe renõîndara,xe remipoîangaîbara
o magro que convido para comer,xe remipoîangaîbara,iî aoba'e xe mbo'u,xe remipoîangaîbara
o fraco que convido para comer,xe remipoîmembeka,xe remipoîangaîbara,xe remipoîmembeka
o molengão que convido,xe remipoîmembeka,xe remipoîmembeka,xe remipoîmembeka
